WP, 26, 2018090900, 83, EE04,  84, 135N, 1345E,  80,  941,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE04,  96, 139N, 1324E,  83,  937,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE04, 108, 151N, 1302E,  90,  931,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE04, 120, 166N, 1276E,  95,  930,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE04, 132, 184N, 1251E, 103,  926,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE04, 144, 196N, 1226E, 106,  919,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE04, 156, 210N, 1199E,  99,  923,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE04, 168, 222N, 1174E,  93,  947,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05,   0, 151N, 1548E,  62,  994,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05,  12, 148N, 1507E,  54,  990,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05,  24, 141N, 1475E,  52,  987,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05,  36, 138N, 1447E,  67,  977,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05,  48, 134N, 1423E,  67,  967,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05,  60, 132N, 1406E,  70,  962,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05,  72, 135N, 1389E,  77,  956,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05,  84, 142N, 1369E,  77,  948,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05,  96, 151N, 1347E,  80,  941,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05, 108, 165N, 1324E,  86,  937,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05, 120, 177N, 1299E,  91,  932,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05, 132, 187N, 1271E,  99,  924,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05, 144, 194N, 1247E,  93,  928,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05, 156, 203N, 1222E,  99,  928,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE05, 168, 210N, 1193E,  89,  932,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06,   0, 151N, 1548E,  40,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06,  12, 151N, 1507E,  50,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06,  24, 145N, 1466E,  57,  988,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06,  36, 135N, 1434E,  55,  983,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06,  48, 130N, 1404E,  65,  978,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06,  60, 127N, 1379E,  70,  963,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06,  72, 125N, 1355E,  80,  957,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06,  84, 125N, 1334E,  84,  943,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06,  96, 128N, 1313E,  99,  944,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06, 108, 135N, 1295E,  85,  943,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06, 120, 151N, 1274E,  89,  935,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06, 132, 170N, 1251E,  93,  942,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06, 144, 190N, 1223E, 100,  923,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06, 156, 203N, 1193E, 108,  933,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE06, 168, 214N, 1167E,  90,  945,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE07,   0, 151N, 1548E,  52,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, EE07,  12, 148N, 1507E,  51,  990,   ,  34, NEQ,    0,    0,    0,    0,
