WP, 05, 2019070200, 83, EM06,  48, 210N, 1087E,  30,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM06,  60, 227N, 1085E,  25,  997,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM06,  72, 235N, 1088E,  22,  999,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM06,  84, 238N, 1094E,  21,  997,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM06,  96, 263N, 1116E,  23,  997,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM06, 108, 277N, 1129E,  17,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07,   0, 186N, 1133E,  32,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07,  12, 197N, 1110E,  39,  993,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07,  24, 200N, 1105E,  39,  992,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07,  36, 208N, 1088E,  33,  992,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07,  48, 225N, 1080E,  33,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07,  60, 227N, 1071E,  27,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07,  72, 246N, 1074E,  24,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07,  84, 256N, 1092E,  12,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07,  96, 270N, 1115E,  18,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07, 108, 283N, 1146E,  32,  987,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07, 120, 295N, 1185E,  31,  989,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07, 132, 307N, 1236E,  54,  984,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07, 144, 316N, 1282E,  46,  990,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM07, 156, 326N, 1330E,  34,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM08,   0, 179N, 1125E,  37,  992,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM08,  12, 193N, 1112E,  37,  993,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM08,  24, 197N, 1092E,  32,  996,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM08,  36, 198N, 1082E,  30,  993,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM08,  48, 204N, 1072E,  41,  991,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM08,  60, 239N, 1063E,  24,  997,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM08,  72, 239N, 1061E,  26, 1000,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM09,   0, 179N, 1125E,  43,  994,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM09,  12, 193N, 1112E,  38,  994,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM09,  24, 201N, 1101E,  35,  995,   ,  34, NEQ,    0,    0,    0,    0,
WP, 05, 2019070200, 83, EM09,  36, 198N, 1087E,  33,  993,   ,  34, NEQ,    0,    0,    0,    0,
