EP, 02, 2019070200, 83, EM04, 156, 180N, 1487W,  40, 1004,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM04, 168, 180N, 1512W,  34, 1005,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05,   0, 115N, 1190W,  68,  982,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05,  12, 120N, 1217W,  64,  982,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05,  24, 128N, 1244W,  70,  973,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05,  36, 132N, 1268W,  71,  969,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05,  48, 139N, 1287W,  73,  967,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05,  60, 144N, 1305W,  74,  963,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05,  72, 152N, 1324W,  72,  969,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05,  84, 159N, 1343W,  68,  979,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05,  96, 166N, 1369W,  51,  993,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05, 108, 166N, 1405W,  48, 1000,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05, 120, 166N, 1442W,  53, 1002,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM05, 132, 165N, 1485W,  46, 1004,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06,   0, 115N, 1189W,  81,  984,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06,  12, 121N, 1211W,  58,  986,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06,  24, 130N, 1237W,  60,  984,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06,  36, 135N, 1258W,  59,  979,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06,  48, 144N, 1277W,  68,  974,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06,  60, 156N, 1296W,  70,  965,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06,  72, 166N, 1313W,  75,  966,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06,  84, 175N, 1329W,  58,  983,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06,  96, 184N, 1353W,  59,  988,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06, 108, 189N, 1379W,  47,  996,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06, 120, 193N, 1407W,  46,  999,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06, 132, 196N, 1432W,  42, 1000,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06, 144, 196N, 1460W,  41, 1002,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06, 156, 203N, 1485W,  49, 1002,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM06, 168, 204N, 1511W,  51,  997,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07,   0, 118N, 1192W,  61,  984,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07,  12, 117N, 1217W,  58,  979,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07,  24, 121N, 1242W,  68,  965,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07,  36, 125N, 1263W,  77,  959,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07,  48, 128N, 1282W,  76,  956,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07,  60, 137N, 1298W,  74,  960,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07,  72, 149N, 1314W,  76,  957,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07,  84, 163N, 1331W,  74,  962,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07,  96, 177N, 1355W,  79,  969,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07, 108, 190N, 1383W,  64,  978,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07, 120, 196N, 1412W,  54,  990,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07, 132, 204N, 1443W,  48,  997,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07, 144, 212N, 1476W,  45, 1000,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07, 156, 212N, 1507W,  48,  999,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM07, 168, 214N, 1535W,  51,  999,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM08,   0, 117N, 1190W,  62,  986,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM08,  12, 122N, 1215W,  52,  987,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM08,  24, 130N, 1241W,  57,  985,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM08,  36, 138N, 1263W,  63,  975,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM08,  48, 144N, 1283W,  70,  966,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM08,  60, 151N, 1301W,  72,  969,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM08,  72, 162N, 1318W,  67,  975,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM08,  84, 173N, 1336W,  60,  986,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM08,  96, 184N, 1356W,  60,  990,   ,  34, NEQ,    0,    0,    0,    0,
EP, 02, 2019070200, 83, EM08, 108, 191N, 1383W,  47, 1001,   ,  34, NEQ,    0,    0,    0,    0,
