WP, 26, 2018090900, 83, AP01, 132, 195N, 1245E,  87,  921,   ,  34, NEQ,  277,  246,  213,  253,
WP, 26, 2018090900, 83, AP01, 132, 195N, 1245E,  87,  921,   ,  50, NEQ,  144,  146,  116,  133,
WP, 26, 2018090900, 83, AP01, 144, 204N, 1216E,  97,  916,   ,  34, NEQ,  267,  291,  209,  311,
WP, 26, 2018090900, 83, AP01, 144, 204N, 1216E,  97,  916,   ,  50, NEQ,  147,  123,  125,  130,
WP, 26, 2018090900, 83, AP01, 156, 216N, 1186E,  77,  945,   ,  34, NEQ,  258,  220,  217,  178,
WP, 26, 2018090900, 83, AP01, 156, 216N, 1186E,  77,  945,   ,  50, NEQ,  111,  118,   94,  146,
WP, 26, 2018090900, 83, AP01, 168, 223N, 1154E,  59,  959,   ,  34, NEQ,  234,  239,  173,  106,
WP, 26, 2018090900, 83, AP01, 168, 223N, 1154E,  59,  959,   ,  50, NEQ,   66,   96,   78,   54,
WP, 26, 2018090900, 83, AP02,   0, 151N, 1548E,  54,  989,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, AP02,   0, 151N, 1548E,  54,  989,   ,  50, NEQ,   64,    0,    0,   65,
WP, 26, 2018090900, 83, AP02,  12, 148N, 1508E,  61,  987,   ,  34, NEQ,  115,   75,   67,  105,
WP, 26, 2018090900, 83, AP02,  12, 148N, 1508E,  61,  987,   ,  50, NEQ,   75,   44,    0,   49,
WP, 26, 2018090900, 83, AP02,  24, 144N, 1471E,  67,  977,   ,  34, NEQ,  134,   87,   83,  130,
WP, 26, 2018090900, 83, AP02,  24, 144N, 1471E,  67,  977,   ,  50, NEQ,   83,   58,   48,   75,
WP, 26, 2018090900, 83, AP02,  36, 136N, 1439E,  67,  975,   ,  34, NEQ,  146,  115,  107,  129,
WP, 26, 2018090900, 83, AP02,  36, 136N, 1439E,  67,  975,   ,  50, NEQ,   84,   73,   61,   80,
WP, 26, 2018090900, 83, AP02,  48, 136N, 1415E,  63,  977,   ,  34, NEQ,  171,  126,  128,  154,
WP, 26, 2018090900, 83, AP02,  48, 136N, 1415E,  63,  977,   ,  50, NEQ,   88,   73,    0,   89,
WP, 26, 2018090900, 83, AP02,  60, 139N, 1394E,  67,  973,   ,  34, NEQ,  187,  162,  149,  185,
WP, 26, 2018090900, 83, AP02,  60, 139N, 1394E,  67,  973,   ,  50, NEQ,  115,   98,    0,  107,
WP, 26, 2018090900, 83, AP02,  72, 145N, 1370E,  70,  967,   ,  34, NEQ,  216,  206,  164,  189,
WP, 26, 2018090900, 83, AP02,  72, 145N, 1370E,  70,  967,   ,  50, NEQ,  131,  119,   64,   99,
WP, 26, 2018090900, 83, AP02,  84, 151N, 1351E,  67,  959,   ,  34, NEQ,  248,  226,  163,  232,
WP, 26, 2018090900, 83, AP02,  84, 151N, 1351E,  67,  959,   ,  50, NEQ,  144,  100,   99,  142,
WP, 26, 2018090900, 83, AP02,  96, 158N, 1331E,  78,  944,   ,  34, NEQ,  260,  256,  204,  249,
WP, 26, 2018090900, 83, AP02,  96, 158N, 1331E,  78,  944,   ,  50, NEQ,  142,  132,  117,  132,
WP, 26, 2018090900, 83, AP02, 108, 167N, 1313E,  83,  941,   ,  34, NEQ,  274,  250,  227,  237,
WP, 26, 2018090900, 83, AP02, 108, 167N, 1313E,  83,  941,   ,  50, NEQ,  146,  144,  118,  138,
WP, 26, 2018090900, 83, AP02, 120, 176N, 1293E,  84,  939,   ,  34, NEQ,  294,  312,  249,  300,
WP, 26, 2018090900, 83, AP02, 120, 176N, 1293E,  84,  939,   ,  50, NEQ,  164,  162,  137,  148,
WP, 26, 2018090900, 83, AP02, 132, 191N, 1270E,  88,  926,   ,  34, NEQ,  286,  318,  255,  285,
WP, 26, 2018090900, 83, AP02, 132, 191N, 1270E,  88,  926,   ,  50, NEQ,  182,  180,  160,  158,
WP, 26, 2018090900, 83, AP02, 144, 203N, 1245E,  89,  922,   ,  34, NEQ,  312,  381,  292,  285,
WP, 26, 2018090900, 83, AP02, 144, 203N, 1245E,  89,  922,   ,  50, NEQ,  209,  198,  155,  165,
WP, 26, 2018090900, 83, AP02, 156, 219N, 1222E,  94,  920,   ,  34, NEQ,  292,  312,  235,  303,
WP, 26, 2018090900, 83, AP02, 156, 219N, 1222E,  94,  920,   ,  50, NEQ,  171,  151,  143,  199,
WP, 26, 2018090900, 83, AP02, 168, 232N, 1190E,  79,  947,   ,  34, NEQ,  331,  285,  265,  143,
WP, 26, 2018090900, 83, AP02, 168, 232N, 1190E,  79,  947,   ,  50, NEQ,  207,  170,   80,  111,
WP, 26, 2018090900, 83, AP03,   0, 151N, 1548E,  52,  989,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, AP03,   0, 151N, 1548E,  52,  989,   ,  50, NEQ,   60,    0,    0,   60,
WP, 26, 2018090900, 83, AP03,  12, 150N, 1515E,  51,  990,   ,  34, NEQ,  126,   69,   62,  124,
WP, 26, 2018090900, 83, AP03,  12, 150N, 1515E,  51,  990,   ,  50, NEQ,   63,    0,    0,   41,
WP, 26, 2018090900, 83, AP03,  24, 146N, 1478E,  59,  983,   ,  34, NEQ,   98,   85,   83,  113,
WP, 26, 2018090900, 83, AP03,  24, 146N, 1478E,  59,  983,   ,  50, NEQ,   69,   52,    0,   70,
WP, 26, 2018090900, 83, AP03,  36, 141N, 1450E,  59,  978,   ,  34, NEQ,  122,  120,   90,  120,
WP, 26, 2018090900, 83, AP03,  36, 141N, 1450E,  59,  978,   ,  50, NEQ,   84,   62,   50,   66,
WP, 26, 2018090900, 83, AP03,  48, 141N, 1424E,  66,  974,   ,  34, NEQ,  125,  124,  110,  130,
WP, 26, 2018090900, 83, AP03,  48, 141N, 1424E,  66,  974,   ,  50, NEQ,   77,   73,    0,   76,
WP, 26, 2018090900, 83, AP03,  60, 143N, 1401E,  58,  977,   ,  34, NEQ,  167,  126,  112,  165,
WP, 26, 2018090900, 83, AP03,  60, 143N, 1401E,  58,  977,   ,  50, NEQ,   82,   73,   49,   76,
WP, 26, 2018090900, 83, AP03,  72, 147N, 1377E,  52,  979,   ,  34, NEQ,  207,  163,  133,  173,
WP, 26, 2018090900, 83, AP03,  72, 147N, 1377E,  52,  979,   ,  50, NEQ,   84,    0,    0,   79,
WP, 26, 2018090900, 83, AP03,  84, 154N, 1352E,  63,  969,   ,  34, NEQ,  232,  162,  131,  194,
WP, 26, 2018090900, 83, AP03,  84, 154N, 1352E,  63,  969,   ,  50, NEQ,  108,   79,   54,   81,
WP, 26, 2018090900, 83, AP03,  96, 161N, 1331E,  77,  953,   ,  34, NEQ,  259,  200,  170,  236,
WP, 26, 2018090900, 83, AP03,  96, 161N, 1331E,  77,  953,   ,  50, NEQ,  114,  113,   87,   93,
WP, 26, 2018090900, 83, AP03, 108, 172N, 1308E,  82,  943,   ,  34, NEQ,  241,  211,  195,  241,
WP, 26, 2018090900, 83, AP03, 108, 172N, 1308E,  82,  943,   ,  50, NEQ,  142,  112,   90,  123,
WP, 26, 2018090900, 83, AP03, 120, 180N, 1284E,  81,  938,   ,  34, NEQ,  258,  269,  218,  262,
WP, 26, 2018090900, 83, AP03, 120, 180N, 1284E,  81,  938,   ,  50, NEQ,  126,  139,  100,  122,
WP, 26, 2018090900, 83, AP03, 132, 190N, 1257E,  84,  933,   ,  34, NEQ,  287,  262,  224,  314,
WP, 26, 2018090900, 83, AP03, 132, 190N, 1257E,  84,  933,   ,  50, NEQ,  159,  148,  123,  126,
WP, 26, 2018090900, 83, AP03, 144, 197N, 1229E,  90,  931,   ,  34, NEQ,  301,  284,  209,  231,
WP, 26, 2018090900, 83, AP03, 144, 197N, 1229E,  90,  931,   ,  50, NEQ,  163,  152,  104,  153,
WP, 26, 2018090900, 83, AP03, 156, 206N, 1200E,  83,  935,   ,  34, NEQ,  307,  295,  233,  295,
WP, 26, 2018090900, 83, AP03, 156, 206N, 1200E,  83,  935,   ,  50, NEQ,  128,  120,  116,  114,
WP, 26, 2018090900, 83, AP03, 168, 211N, 1172E,  73,  947,   ,  34, NEQ,  194,  259,  250,  178,
WP, 26, 2018090900, 83, AP03, 168, 211N, 1172E,  73,  947,   ,  50, NEQ,  114,  129,  100,  112,
WP, 26, 2018090900, 83, AP04,   0, 150N, 1548E,  54,  990,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, AP04,   0, 150N, 1548E,  54,  990,   ,  50, NEQ,   65,    0,    0,   65,
WP, 26, 2018090900, 83, AP04,  12, 148N, 1509E,  54,  988,   ,  34, NEQ,  118,   72,   68,  115,
WP, 26, 2018090900, 83, AP04,  12, 148N, 1509E,  54,  988,   ,  50, NEQ,   71,    0,    0,   51,
WP, 26, 2018090900, 83, AP04,  24, 145N, 1471E,  70,  976,   ,  34, NEQ,  101,   88,   98,  119,
WP, 26, 2018090900, 83, AP04,  24, 145N, 1471E,  70,  976,   ,  50, NEQ,   76,   61,   47,   71,
WP, 26, 2018090900, 83, AP04,  36, 138N, 1442E,  61,  978,   ,  34, NEQ,  126,  106,   89,  118,
WP, 26, 2018090900, 83, AP04,  36, 138N, 1442E,  61,  978,   ,  50, NEQ,   84,   59,   54,   72,
WP, 26, 2018090900, 83, AP04,  48, 138N, 1414E,  63,  979,   ,  34, NEQ,  148,  120,  126,  154,
WP, 26, 2018090900, 83, AP04,  48, 138N, 1414E,  63,  979,   ,  50, NEQ,   85,   73,    0,   78,
WP, 26, 2018090900, 83, AP04,  60, 141N, 1393E,  66,  976,   ,  34, NEQ,  176,  139,  128,  152,
WP, 26, 2018090900, 83, AP04,  60, 141N, 1393E,  66,  976,   ,  50, NEQ,  100,   86,    0,   97,
WP, 26, 2018090900, 83, AP04,  72, 146N, 1368E,  66,  973,   ,  34, NEQ,  199,  165,  136,  181,
WP, 26, 2018090900, 83, AP04,  72, 146N, 1368E,  66,  973,   ,  50, NEQ,  109,  103,    0,   88,
WP, 26, 2018090900, 83, AP04,  84, 152N, 1344E,  62,  970,   ,  34, NEQ,  224,  186,  135,  199,
WP, 26, 2018090900, 83, AP04,  84, 152N, 1344E,  62,  970,   ,  50, NEQ,  128,   79,   51,  110,
WP, 26, 2018090900, 83, AP04,  96, 157N, 1317E,  71,  962,   ,  34, NEQ,  260,  198,  168,  236,
WP, 26, 2018090900, 83, AP04,  96, 157N, 1317E,  71,  962,   ,  50, NEQ,  122,   88,   86,  111,
WP, 26, 2018090900, 83, AP04, 108, 165N, 1294E,  80,  946,   ,  34, NEQ,  274,  205,  184,  270,
WP, 26, 2018090900, 83, AP04, 108, 165N, 1294E,  80,  946,   ,  50, NEQ,  123,  109,   96,  121,
